Month2,Average Flow (m3/s)
6/1/1997,1470.00
7/1/1997,1870.00
8/1/1997,1730.00
9/1/1997,1390.00
10/1/1997,1230.00
11/1/1997,1080.00
12/1/1997,951.00
1/1/1998,886.00
2/1/1998,1250.00
3/1/1998,2100.00
4/1/1998,3850.00
5/1/1998,1660.00
6/1/1998,1800.00
7/1/1998,2300.00
8/1/1998,1130.00
9/1/1998,791.00
10/1/1998,1030.00
11/1/1998,1350.00
12/1/1998,1030.00
1/1/1999,976.00
2/1/1999,1230.00
3/1/1999,1320.00
4/1/1999,2790.00
5/1/1999,3100.00
6/1/1999,2550.00
7/1/1999,2090.00
8/1/1999,1860.00
9/1/1999,1230.00
10/1/1999,975.00
11/1/1999,966.00
12/1/1999,813.00
1/1/2000,841.00
2/1/2000,998.00
3/1/2000,1660.00
4/1/2000,1270.00
5/1/2000,1430.00
6/1/2000,2780.00
7/1/2000,2050.00
8/1/2000,1080.00
9/1/2000,975.00
10/1/2000,709.00
11/1/2000,1160.00
12/1/2000,747.00
1/1/2001,866.00
2/1/2001,1120.00
3/1/2001,1170.00
4/1/2001,4550.00
5/1/2001,5240.00
6/1/2001,3230.00
7/1/2001,1830.00
8/1/2001,1050.00
9/1/2001,995.00
10/1/2001,851.00
11/1/2001,937.00
12/1/2001,1220.00
1/1/2002,835.00
2/1/2002,1010.00
3/1/2002,1260.00
4/1/2002,2790.00
5/1/2002,2760.00
6/1/2002,2380.00
7/1/2002,2160.00
8/1/2002,1750.00
9/1/2002,1620.00
10/1/2002,2110.00
11/1/2002,1350.00
12/1/2002,941.00
1/1/2003,799.00
2/1/2003,752.00
3/1/2003,1150.00
4/1/2003,1910.00
5/1/2003,3220.00
6/1/2003,1660.00
7/1/2003,1800.00
8/1/2003,732.00
9/1/2003,574.00
10/1/2003,552.00
11/1/2003,756.00
12/1/2003,585.00
1/1/2004,464.00
2/1/2004,608.00
3/1/2004,1580.00
4/1/2004,2110.00
5/1/2004,2080.00
6/1/2004,3940.00
7/1/2004,1620.00
8/1/2004,988.00
9/1/2004,1180.00
10/1/2004,1160.00
11/1/2004,1370.00
12/1/2004,954.00
1/1/2005,944.00
2/1/2005,1310.00
3/1/2005,1140.00
4/1/2005,2780.00
5/1/2005,1770.00
6/1/2005,1980.00
7/1/2005,1250.00
8/1/2005,727.00
9/1/2005,812.00
10/1/2005,1740.00
11/1/2005,1100.00
12/1/2005,1090.00
1/1/2006,1190.00
2/1/2006,1090.00
3/1/2006,1320.00
4/1/2006,2970.00
5/1/2006,2450.00
6/1/2006,1410.00
7/1/2006,736.00
8/1/2006,757.00
9/1/2006,755.00
10/1/2006,742.00
11/1/2006,665.00
12/1/2006,735.00
1/1/2007,858.00
2/1/2007,722.00
3/1/2007,1930.00
4/1/2007,2850.00
5/1/2007,1520.00
6/1/2007,1260.00
7/1/2007,721.00
8/1/2007,1440.00
9/1/2007,1010.00
10/1/2007,1970.00
11/1/2007,1350.00
12/1/2007,903.00
1/1/2008,999.00
2/1/2008,891.00
3/1/2008,1300.00
4/1/2008,3490.00
5/1/2008,3630.00
6/1/2008,3810.00
7/1/2008,1690.00
8/1/2008,814.00
9/1/2008,729.00
10/1/2008,847.00
11/1/2008,947.00
12/1/2008,769.00
1/1/2009,835.00
2/1/2009,1060.00
3/1/2009,1590.00
4/1/2009,2380.00
5/1/2009,1720.00
6/1/2009,1230.00
7/1/2009,884.00
8/1/2009,1060.00
9/1/2009,738.00
10/1/2009,1140.00
11/1/2009,1470.00
12/1/2009,1030.00
1/1/2010,847.00
2/1/2010,792.00
3/1/2010,2260.00
4/1/2010,2660.00
5/1/2010,1710.00
6/1/2010,1750.00
7/1/2010,2860.00
8/1/2010,2340.00
9/1/2010,2000.00
10/1/2010,3470.00
11/1/2010,2440.00
12/1/2010,1450.00
1/1/2011,1440.00
2/1/2011,1480.00
3/1/2011,2440.00
4/1/2011,5270.00
5/1/2011,3710.00
6/1/2011,2820.00
7/1/2011,2800.00
8/1/2011,2270.00
9/1/2011,1030.00
10/1/2011,897.00
11/1/2011,924.00
12/1/2011,938.00
1/1/2012,750.00
2/1/2012,815.00
3/1/2012,1600.00
4/1/2012,1340.00
5/1/2012,2050.00
6/1/2012,2560.00
7/1/2012,1760.00
8/1/2012,686.00
9/1/2012,449.00
10/1/2012,532.00
11/1/2012,600.00
12/1/2012,545.00
1/1/2013,529.00
2/1/2013,669.00
3/1/2013,1130.00
4/1/2013,3360.00
5/1/2013,3790.00
6/1/2013,3880.00
7/1/2013,2770.00
8/1/2013,922.00
9/1/2013,761.00
10/1/2013,1070.00
11/1/2013,1070.00
12/1/2013,762.00
1/1/2014,726.00
2/1/2014,741.00
3/1/2014,1290.00
4/1/2014,3070.00
5/1/2014,4320.00
6/1/2014,3680.00
7/1/2014,3540.00
8/1/2014,1190.00
9/1/2014,2080.00
10/1/2014,1370.00
11/1/2014,1080.00
12/1/2014,1330.00
1/1/2015,967.00
2/1/2015,910.00
3/1/2015,1250.00
4/1/2015,1610.00
5/1/2015,1530.00
6/1/2015,2560.00
7/1/2015,1630.00
8/1/2015,1140.00
9/1/2015,1160.00
10/10/2015,865.00
11/10/2015,1730.00
12/10/2015,2410.00
1/10/2016,1290.00
2/10/2016,1240.00
3/10/2016,2520.00
4/10/2016,2370.00
5/10/2016,1960.00
6/10/2016,2160.00
7/10/2016,2040.00
8/10/2016,2410.00
9/10/2016,2950.00
