Month2,Average Flow (m3/s)
12/1/1992,4400.00
1/1/1993,4030.00
2/1/1993,2750.00
3/1/1993,2800.00
4/1/1993,3190.00
5/1/1993,5260.00
6/1/1993,4100.00
7/1/1993,1900.00
8/1/1993,1080.00
9/1/1993,1380.00
10/1/1993,1490.00
11/1/1993,1210.00
12/1/1993,1410.00
1/1/1994,918.00
2/1/1994,1370.00
3/1/1994,2690.00
4/1/1994,2630.00
5/1/1994,3360.00
6/1/1994,522.00
7/1/1994,501.00
8/1/1994,319.00
9/1/1994,199.00
10/1/1994,154.00
11/1/1994,2760.00
12/1/1994,1950.00
1/1/1995,1650.00
2/1/1995,800.00
3/1/1995,1710.00
4/1/1995,1760.00
5/1/1995,4610.00
6/1/1995,5420.00
7/1/1995,3300.00
8/1/1995,1460.00
9/1/1995,282.00
10/1/1995,204.00
11/1/1995,95.20
12/1/1995,213.00
1/1/1996,533.00
2/1/1996,277.00
3/1/1996,304.00
4/1/1996,1110.00
5/1/1996,861.00
6/1/1996,644.00
7/1/1996,389.00
8/1/1996,546.00
9/1/1996,674.00
10/1/1996,929.00
11/1/1996,3460.00
12/1/1996,2670.00
1/1/1997,633.00
2/1/1997,1970.00
3/1/1997,3120.00
4/1/1997,2530.00
5/1/1997,969.00
6/1/1997,1180.00
7/1/1997,1160.00
8/1/1997,810.00
9/1/1997,459.00
10/1/1997,571.00
11/1/1997,342.00
12/1/1997,1430.00
1/1/1998,4580.00
2/1/1998,1940.00
3/1/1998,3370.00
4/1/1998,3230.00
5/1/1998,1850.00
6/1/1998,469.00
7/1/1998,371.00
8/1/1998,247.00
9/1/1998,315.00
10/1/1998,2500.00
11/1/1998,3070.00
12/1/1998,1940.00
1/1/1999,944.00
2/1/1999,2100.00
3/1/1999,2720.00
4/1/1999,2800.00
5/1/1999,4740.00
6/1/1999,3850.00
7/1/1999,3320.00
8/1/1999,532.00
9/1/1999,235.00
10/1/1999,215.00
11/1/1999,108.00
12/1/1999,1060.00
1/1/2000,475.00
2/1/2000,500.00
3/1/2000,1700.00
4/1/2000,1280.00
5/1/2000,1860.00
6/1/2000,2130.00
7/1/2000,1920.00
8/1/2000,426.00
9/1/2000,177.00
10/1/2000,166.00
11/1/2000,944.00
12/1/2000,648.00
1/1/2001,1020.00
2/1/2001,3290.00
3/1/2001,3640.00
4/1/2001,888.00
5/1/2001,745.00
6/1/2001,1870.00
7/1/2001,451.00
8/1/2001,218.00
9/1/2001,151.00
10/1/2001,330.00
11/1/2001,209.00
12/1/2001,1230.00
1/1/2002,561.00
2/1/2002,1450.00
3/1/2002,2090.00
4/1/2002,2210.00
5/1/2002,1820.00
6/1/2002,1670.00
7/1/2002,658.00
8/1/2002,320.00
9/1/2002,127.00
10/1/2002,304.00
11/1/2002,241.00
12/1/2002,288.00
1/1/2003,452.00
2/1/2003,607.00
3/1/2003,1090.00
4/1/2003,820.00
5/1/2003,1650.00
6/1/2003,1170.00
7/1/2003,317.00
8/1/2003,335.00
9/1/2003,595.00
10/1/2003,421.00
11/1/2003,363.00
12/1/2003,433.00
1/1/2004,765.00
2/1/2004,1020.00
3/1/2004,2720.00
4/1/2004,2280.00
5/1/2004,2180.00
6/1/2004,894.00
7/1/2004,2070.00
8/1/2004,611.00
9/1/2004,147.00
10/1/2004,292.00
11/1/2004,1880.00
12/1/2004,1930.00
1/1/2005,3630.00
2/1/2005,1550.00
3/1/2005,1090.00
4/1/2005,1250.00
5/1/2005,550.00
6/1/2005,1750.00
7/1/2005,1060.00
8/1/2005,662.00
9/1/2005,743.00
10/1/2005,211.00
11/1/2005,291.00
12/1/2005,45.40
1/1/2006,80.30
2/1/2006,105.00
3/1/2006,371.00
4/1/2006,235.00
5/1/2006,1420.00
6/1/2006,261.00
7/1/2006,187.00
8/1/2006,157.00
9/1/2006,83.60
10/1/2006,156.00
11/1/2006,480.00
12/1/2006,1230.00
1/1/2007,2280.00
2/1/2007,966.00
3/1/2007,627.00
4/1/2007,1830.00
5/1/2007,3320.00
6/1/2007,3430.00
7/1/2007,5400.00
8/1/2007,2280.00
9/1/2007,965.00
10/1/2007,559.00
11/1/2007,260.00
12/1/2007,855.00
1/1/2008,666.00
2/1/2008,1880.00
3/1/2008,4490.00
4/1/2008,6010.00
5/1/2008,4080.00
6/1/2008,4130.00
7/1/2008,2660.00
8/1/2008,1220.00
9/1/2008,2450.00
10/1/2008,1070.00
11/1/2008,589.00
12/1/2008,391.00
1/1/2009,786.00
2/1/2009,1180.00
3/1/2009,877.00
4/1/2009,2790.00
5/1/2009,5410.00
6/1/2009,1810.00
7/1/2009,556.00
8/1/2009,570.00
9/1/2009,1580.00
10/1/2009,3340.00
11/1/2009,2290.00
12/1/2009,1060.00
1/1/2010,1420.00
2/1/2010,2350.00
3/1/2010,2000.00
4/1/2010,1390.00
5/1/2010,2020.00
6/1/2010,2030.00
7/1/2010,1680.00
8/1/2010,560.00
9/1/2010,700.00
10/1/2010,162.00
11/1/2010,161.00
12/1/2010,158.00
1/1/2011,194.00
2/1/2011,493.00
3/1/2011,823.00
4/1/2011,1770.00
5/1/2011,4030.00
6/1/2011,1160.00
7/1/2011,70.80
8/1/2011,134.00
9/1/2011,63.60
10/1/2011,44.90
11/1/2011,839.00
12/1/2011,1410.00
1/1/2012,875.00
2/1/2012,1120.00
3/1/2012,2650.00
4/1/2012,1890.00
5/1/2012,1100.00
6/1/2012,118.00
7/1/2012,76.80
8/1/2012,47.30
9/1/2012,81.70
10/1/2012,91.20
11/1/2012,36.30
12/1/2012,71.40
1/1/2013,424.00
2/1/2013,553.00
3/1/2013,679.00
4/1/2013,1760.00
5/1/2013,1370.00
6/1/2013,2700.00
7/1/2013,342.00
8/1/2013,2350.00
9/1/2013,693.00
10/1/2013,187.00
11/1/2013,532.00
12/1/2013,758.00
1/1/2014,608.00
2/1/2014,314.00
3/1/2014,757.00
4/1/2014,803.00
5/1/2014,757.00
6/1/2014,1250.00
7/1/2014,683.00
8/1/2014,335.00
9/1/2014,267.00
10/1/2014,829.00
11/1/2014,226.00
12/1/2014,383.00
1/1/2015,684.00
2/1/2015,348.00
3/1/2015,1660.00
4/1/2015,1540.00
5/1/2015,4910.00
6/1/2015,5840.00
7/1/2015,4230.00
8/1/2015,936.00
9/1/2015,232.00
10/1/2015,95.80
11/1/2015,1020.00
12/1/2015,4160.00
1/1/2016,5110.00
2/1/2016,685.00
3/1/2016,1530.00
4/1/2016,1180.00
5/1/2016,2480.00
6/1/2016,1280.00
7/1/2016,761.00
8/1/2016,636.00
9/1/2016,902.00
