Month2,Average Flow (m3/s)
12/1/1994,1810.00
1/1/1995,1920.00
2/1/1995,1880.00
3/1/1995,1810.00
4/1/1995,3100.00
5/1/1995,8860.00
6/1/1995,7990.00
7/1/1995,5040.00
8/1/1995,3370.00
9/1/1995,2350.00
10/1/1995,2240.00
11/1/1995,2410.00
12/1/1995,1650.00
1/1/1996,1260.00
2/1/1996,1500.00
3/1/1996,1660.00
4/1/1996,2340.00
5/1/1996,5510.00
6/1/1996,5650.00
7/1/1996,3750.00
8/1/1996,3130.00
9/1/1996,2610.00
10/1/1996,2750.00
11/1/1996,3840.00
12/1/1996,2840.00
1/1/1997,1740.00
2/1/1997,3580.00
3/1/1997,4150.00
4/1/1997,5490.00
5/1/1997,4380.00
6/1/1997,4410.00
7/1/1997,3050.00
8/1/1997,2560.00
9/1/1997,2590.00
10/1/1997,2660.00
11/1/1997,2720.00
12/1/1997,2920.00
1/1/1998,2540.00
2/1/1998,2590.00
3/1/1998,4200.00
4/1/1998,5360.00
5/1/1998,3140.00
6/1/1998,4480.00
7/1/1998,3710.00
8/1/1998,2850.00
9/1/1998,2580.00
10/1/1998,4900.00
11/1/1998,4950.00
12/1/1998,3020.00
1/1/1999,2180.00
2/1/1999,3510.00
3/1/1999,3030.00
4/1/1999,4880.00
5/1/1999,6240.00
6/1/1999,4890.00
7/1/1999,4170.00
8/1/1999,2380.00
9/1/1999,1970.00
10/1/1999,1890.00
11/1/1999,1810.00
12/1/1999,1640.00
1/1/2000,1390.00
2/1/2000,1330.00
3/1/2000,1550.00
4/1/2000,1450.00
5/1/2000,1550.00
6/1/2000,2140.00
7/1/2000,1990.00
8/1/2000,1610.00
9/1/2000,1300.00
10/1/2000,1330.00
11/1/2000,1350.00
12/1/2000,851.00
1/1/2001,930.00
2/1/2001,2400.00
3/1/2001,3500.00
4/1/2001,3360.00
5/1/2001,3300.00
6/1/2001,5840.00
7/1/2001,2760.00
8/1/2001,1730.00
9/1/2001,1680.00
10/1/2001,1640.00
11/1/2001,1270.00
12/1/2001,1230.00
1/1/2002,988.00
2/1/2002,1540.00
3/1/2002,1270.00
4/1/2002,1860.00
5/1/2002,5220.00
6/1/2002,2850.00
7/1/2002,1350.00
8/1/2002,1260.00
9/1/2002,1180.00
10/1/2002,1210.00
11/1/2002,1140.00
12/1/2002,819.00
1/1/2003,723.00
2/1/2003,821.00
3/1/2003,1080.00
4/1/2003,1340.00
5/1/2003,2310.00
6/1/2003,1840.00
7/1/2003,1510.00
8/1/2003,1070.00
9/1/2003,1440.00
10/1/2003,1090.00
11/1/2003,1260.00
12/1/2003,1370.00
1/1/2004,1450.00
2/1/2004,1100.00
3/1/2004,2940.00
4/1/2004,2000.00
5/1/2004,2670.00
6/1/2004,3040.00
7/1/2004,2490.00
8/1/2004,2060.00
9/1/2004,1760.00
10/1/2004,1210.00
11/1/2004,2000.00
12/1/2004,1840.00
1/1/2005,3380.00
2/1/2005,2910.00
3/1/2005,1340.00
4/1/2005,1860.00
5/1/2005,2080.00
6/1/2005,3630.00
7/1/2005,1600.00
8/1/2005,1630.00
9/1/2005,1570.00
10/1/2005,1390.00
11/1/2005,759.00
12/1/2005,798.00
1/1/2006,852.00
2/1/2006,865.00
3/1/2006,976.00
4/1/2006,1440.00
5/1/2006,2050.00
6/1/2006,1370.00
7/1/2006,1160.00
8/1/2006,1210.00
9/1/2006,1270.00
10/1/2006,998.00
11/1/2006,703.00
12/1/2006,955.00
1/1/2007,1120.00
2/1/2007,1470.00
3/1/2007,2270.00
4/1/2007,3020.00
5/1/2007,5690.00
6/1/2007,3690.00
7/1/2007,3030.00
8/1/2007,2270.00
9/1/2007,1580.00
10/1/2007,2010.00
11/1/2007,1210.00
12/1/2007,1310.00
1/1/2008,1520.00
2/1/2008,2270.00
3/1/2008,4100.00
4/1/2008,4850.00
5/1/2008,3930.00
6/1/2008,6550.00
7/1/2008,4760.00
8/1/2008,2490.00
9/1/2008,4010.00
10/1/2008,2230.00
11/1/2008,1940.00
12/1/2008,1560.00
1/1/2009,1700.00
2/1/2009,1750.00
3/1/2009,2610.00
4/1/2009,3570.00
5/1/2009,5270.00
6/1/2009,4470.00
7/1/2009,2700.00
8/1/2009,2320.00
9/1/2009,1880.00
10/1/2009,3460.00
11/1/2009,3800.00
12/1/2009,2150.00
1/1/2010,2870.00
2/1/2010,2710.00
3/1/2010,4870.00
4/1/2010,4520.00
5/1/2010,5750.00
6/1/2010,6530.00
7/1/2010,5500.00
8/1/2010,3920.00
9/1/2010,4290.00
10/1/2010,2910.00
11/1/2010,2460.00
12/1/2010,1870.00
1/1/2011,1480.00
2/1/2011,2610.00
3/1/2011,3980.00
4/1/2011,4100.00
5/1/2011,5080.00
6/1/2011,6150.00
7/1/2011,6650.00
8/1/2011,5900.00
9/1/2011,4020.00
10/1/2011,2340.00
11/1/2011,2000.00
12/1/2011,2180.00
1/1/2012,1490.00
2/1/2012,1800.00
3/1/2012,2700.00
4/1/2012,3130.00
5/1/2012,2650.00
6/1/2012,1750.00
7/1/2012,1360.00
8/1/2012,1280.00
9/1/2012,1330.00
10/1/2012,1310.00
11/1/2012,1320.00
12/1/2012,937.00
1/1/2013,818.00
2/1/2013,1030.00
3/1/2013,2210.00
4/1/2013,3790.00
5/1/2013,3170.00
6/1/2013,5000.00
7/1/2013,1680.00
8/1/2013,2520.00
9/1/2013,1340.00
10/1/2013,1270.00
11/1/2013,1410.00
12/1/2013,976.00
1/1/2014,996.00
2/1/2014,1050.00
3/1/2014,1060.00
4/1/2014,1960.00
5/1/2014,1710.00
6/1/2014,3420.00
7/1/2014,2520.00
8/1/2014,1810.00
9/1/2014,3070.00
10/1/2014,3420.00
11/1/2014,1880.00
12/1/2014,1640.00
1/1/2015,1220.00
2/1/2015,1500.00
3/1/2015,1450.00
4/1/2015,2050.00
5/1/2015,3770.00
6/1/2015,6760.00
7/1/2015,5800.00
8/1/2015,2930.00
9/1/2015,2020.00
10/10/2015,1610.00
11/10/2015,2380.00
12/10/2015,5740.00
1/10/2016,3950.00
2/10/2016,2520.00
3/10/2016,2010.00
4/10/2016,2280.00
5/10/2016,4870.00
6/10/2016,3720.00
7/10/2016,2970.00
8/10/2016,2410.00
9/10/2016,2910.00
