Month2,Average Flow (m3/s)
12/1/1996,2170.00
1/1/1997,1900.00
2/1/1997,3520.00
3/1/1997,6160.00
4/1/1997,6480.00
5/1/1997,5610.00
6/1/1997,3510.00
7/1/1997,3120.00
8/1/1997,2520.00
9/1/1997,1990.00
10/1/1997,1700.00
11/1/1997,1570.00
12/1/1997,1590.00
1/1/1998,2580.00
2/1/1998,3300.00
3/1/1998,5800.00
4/1/1998,8440.00
5/1/1998,6000.00
6/1/1998,5730.00
7/1/1998,6350.00
8/1/1998,2600.00
9/1/1998,1370.00
10/1/1998,2650.00
11/1/1998,3230.00
12/1/1998,2150.00
1/1/1999,2910.00
2/1/1999,4470.00
3/1/1999,3500.00
4/1/1999,5710.00
5/1/1999,7200.00
6/1/1999,6820.00
7/1/1999,4470.00
8/1/1999,3380.00
9/1/1999,1810.00
10/1/1999,1460.00
11/1/1999,1330.00
12/1/1999,1540.00
1/1/2000,1210.00
2/1/2000,1350.00
3/1/2000,2490.00
4/1/2000,2060.00
5/1/2000,2630.00
6/1/2000,5950.00
7/1/2000,5270.00
8/1/2000,1960.00
9/1/2000,1740.00
10/1/2000,1470.00
11/1/2000,1950.00
12/1/2000,1240.00
1/1/2001,1490.00
2/1/2001,3920.00
3/1/2001,5490.00
4/1/2001,6880.00
5/1/2001,9170.00
6/1/2001,7740.00
7/1/2001,3840.00
8/1/2001,1910.00
9/1/2001,1700.00
10/1/2001,2030.00
11/1/2001,2280.00
12/1/2001,2390.00
1/1/2002,1630.00
2/1/2002,2620.00
3/1/2002,3100.00
4/1/2002,4830.00
5/1/2002,8700.00
6/1/2002,6810.00
7/1/2002,3510.00
8/1/2002,2960.00
9/1/2002,2210.00
10/1/2002,2490.00
11/1/2002,1830.00
12/1/2002,1490.00
1/1/2003,1250.00
2/1/2003,1130.00
3/1/2003,1600.00
4/1/2003,2420.00
5/1/2003,6130.00
6/1/2003,3450.00
7/1/2003,3780.00
8/1/2003,1230.00
9/1/2003,867.00
10/1/2003,890.00
11/1/2003,1750.00
12/1/2003,1770.00
1/1/2004,1290.00
2/1/2004,1570.00
3/1/2004,4180.00
4/1/2004,4310.00
5/1/2004,4040.00
6/1/2004,8130.00
7/1/2004,4430.00
8/1/2004,2640.00
9/1/2004,1820.00
10/1/2004,2140.00
11/1/2004,3250.00
12/1/2004,3410.00
1/1/2005,4350.00
2/1/2005,4420.00
3/1/2005,2720.00
4/1/2005,4900.00
5/1/2005,3700.00
6/1/2005,3410.00
7/1/2005,2090.00
8/1/2005,1100.00
9/1/2005,1130.00
10/1/2005,2050.00
11/1/2005,1420.00
12/1/2005,1430.00
1/1/2006,1730.00
2/1/2006,1580.00
