Month2,Average Flow (m3/s)
2/1/1992,4670.00
3/1/1992,6820.00
4/1/1992,8220.00
5/1/1992,6390.00
6/1/1992,3850.00
7/1/1992,6390.00
8/1/1992,6220.00
9/1/1992,5050.00
10/1/1992,3910.00
11/1/1992,7520.00
12/1/1992,9840.00
1/1/1993,9160.00
2/1/1993,6830.00
3/1/1993,10900.00
4/1/1993,15800.00
5/1/1993,16100.00
6/1/1993,12200.00
7/1/1993,21700.00
8/1/1993,21700.00
9/1/1993,15300.00
10/1/1993,12100.00
11/1/1993,8800.00
12/1/1993,6730.00
1/1/1994,4360.00
2/1/1994,5710.00
3/1/1994,8630.00
4/1/1994,11100.00
5/1/1994,11300.00
6/1/1994,6640.00
7/1/1994,6040.00
8/1/1994,3950.00
9/1/1994,3490.00
10/1/1994,3900.00
11/1/1994,5220.00
12/1/1994,4660.00
1/1/1995,4750.00
2/1/1995,4860.00
3/1/1995,5860.00
4/1/1995,8750.00
5/1/1995,18000.00
6/1/1995,16500.00
7/1/1995,8950.00
8/1/1995,6670.00
9/1/1995,4350.00
10/1/1995,4410.00
11/1/1995,5510.00
12/1/1995,3640.00
1/1/1996,3330.00
2/1/1996,3900.00
3/1/1996,4760.00
4/1/1996,6860.00
5/1/1996,14500.00
6/1/1996,14500.00
7/1/1996,8610.00
8/1/1996,6060.00
9/1/1996,3790.00
10/1/1996,4110.00
11/1/1996,6360.00
12/1/1996,5470.00
1/1/1997,4030.00
2/1/1997,7140.00
3/1/1997,12300.00
4/1/1997,12100.00
5/1/1997,10100.00
6/1/1997,8180.00
7/1/1997,6610.00
8/1/1997,5280.00
9/1/1997,4560.00
10/1/1997,4230.00
11/1/1997,4460.00
12/1/1997,4710.00
1/1/1998,5360.00
2/1/1998,6290.00
3/1/1998,10800.00
4/1/1998,15100.00
5/1/1998,10100.00
6/1/1998,10600.00
7/1/1998,10500.00
8/1/1998,6320.00
9/1/1998,4310.00
10/1/1998,7500.00
11/1/1998,8220.00
12/1/1998,5470.00
1/1/1999,5020.00
2/1/1999,9320.00
3/1/1999,6940.00
4/1/1999,9980.00
5/1/1999,14400.00
6/1/1999,11900.00
7/1/1999,8470.00
8/1/1999,5710.00
9/1/1999,3620.00
10/1/1999,3420.00
11/1/1999,3060.00
12/1/1999,3130.00
1/1/2000,2680.00
2/1/2000,2940.00
3/1/2000,4370.00
4/1/2000,3780.00
5/1/2000,4480.00
6/1/2000,8040.00
7/1/2000,7860.00
8/1/2000,3960.00
9/1/2000,3000.00
10/1/2000,2840.00
11/1/2000,3370.00
12/1/2000,2500.00
1/1/2001,2550.00
2/1/2001,6920.00
3/1/2001,9570.00
4/1/2001,9960.00
5/1/2001,12900.00
6/1/2001,13200.00
7/1/2001,7270.00
8/1/2001,4030.00
9/1/2001,3510.00
10/1/2001,3890.00
11/1/2001,3470.00
12/1/2001,4840.00
1/1/2002,2910.00
2/1/2002,5020.00
3/1/2002,5620.00
4/1/2002,7160.00
5/1/2002,16600.00
6/1/2002,10200.00
7/1/2002,5220.00
8/1/2002,4230.00
9/1/2002,3670.00
10/1/2002,3930.00
11/1/2002,3250.00
12/1/2002,2650.00
1/1/2003,2280.00
2/1/2003,2460.00
3/1/2003,3370.00
4/1/2003,4190.00
5/1/2003,9910.00
6/1/2003,6530.00
7/1/2003,5710.00
8/1/2003,2860.00
9/1/2003,2800.00
10/1/2003,2120.00
11/1/2003,3420.00
12/1/2003,3800.00
1/1/2004,3810.00
2/1/2004,2890.00
3/1/2004,7440.00
4/1/2004,6630.00
5/1/2004,7150.00
6/1/2004,12400.00
7/1/2004,7490.00
8/1/2004,4630.00
9/1/2004,4510.00
10/1/2004,3360.00
11/1/2004,5580.00
12/1/2004,6400.00
1/1/2005,9670.00
2/1/2005,8120.00
3/1/2005,4870.00
4/1/2005,6930.00
5/1/2005,5890.00
6/1/2005,6910.00
7/1/2005,4190.00
8/1/2005,2760.00
9/1/2005,2910.00
10/1/2005,3710.00
11/1/2005,2610.00
12/1/2005,2470.00
1/1/2006,2960.00
2/1/2006,2950.00
3/1/2006,4570.00
4/1/2006,6900.00
5/1/2006,7050.00
6/1/2006,4260.00
7/1/2006,2820.00
8/1/2006,2490.00
9/1/2006,2920.00
10/1/2006,2650.00
11/1/2006,2410.00
12/1/2006,3980.00
1/1/2007,5190.00
2/1/2007,3810.00
3/1/2007,8410.00
4/1/2007,10800.00
5/1/2007,11100.00
6/1/2007,7680.00
7/1/2007,5440.00
8/1/2007,4800.00
9/1/2007,5500.00
10/1/2007,5560.00
11/1/2007,4210.00
12/1/2007,3690.00
1/1/2008,5060.00
2/1/2008,7060.00
3/1/2008,12300.00
4/1/2008,14800.00
5/1/2008,14600.00
6/1/2008,16500.00
7/1/2008,14400.00
8/1/2008,7110.00
9/1/2008,9160.00
10/1/2008,5310.00
11/1/2008,4380.00
12/1/2008,3970.00
1/1/2009,6040.00
2/1/2009,5950.00
3/1/2009,9400.00
4/1/2009,12000.00
5/1/2009,15200.00
6/1/2009,11800.00
7/1/2009,7500.00
8/1/2009,5290.00
9/1/2009,4720.00
10/1/2009,8100.00
11/1/2009,13400.00
12/1/2009,8170.00
1/1/2010,8350.00
2/1/2010,7300.00
3/1/2010,11600.00
