Month2,Average Flow (m3/s)
12/1/1995,296.00
1/1/1996,314.00
2/1/1996,288.00
3/1/1996,304.00
4/1/1996,419.00
5/1/1996,375.00
6/1/1996,355.00
7/1/1996,380.00
8/1/1996,346.00
9/1/1996,493.00
10/1/1996,811.00
11/1/1996,1900.00
12/1/1996,2400.00
1/1/1997,1150.00
2/1/1997,2300.00
3/1/1997,3760.00
4/1/1997,2300.00
5/1/1997,2220.00
6/1/1997,1070.00
7/1/1997,427.00
8/1/1997,348.00
9/1/1997,332.00
10/1/1997,399.00
11/1/1997,349.00
12/1/1997,975.00
1/1/1998,3560.00
2/1/1998,2400.00
3/1/1998,2490.00
4/1/1998,1180.00
5/1/1998,414.00
6/1/1998,349.00
7/1/1998,430.00
8/1/1998,442.00
9/1/1998,411.00
10/1/1998,593.00
11/1/1998,534.00
12/1/1998,1320.00
1/1/1999,1610.00
2/1/1999,2060.00
3/1/1999,1320.00
4/1/1999,1870.00
5/1/1999,1210.00
6/1/1999,792.00
7/1/1999,702.00
8/1/1999,194.00
9/1/1999,209.00
10/1/1999,163.00
11/1/1999,95.30
12/1/1999,285.00
1/1/2000,313.00
2/1/2000,347.00
3/1/2000,734.00
4/1/2000,1380.00
5/1/2000,1520.00
6/1/2000,1160.00
7/1/2000,1010.00
8/1/2000,551.00
9/1/2000,594.00
10/1/2000,576.00
11/1/2000,1320.00
12/1/2000,1730.00
1/1/2001,2590.00
2/1/2001,2510.00
3/1/2001,4500.00
4/1/2001,1880.00
5/1/2001,1070.00
6/1/2001,1410.00
7/1/2001,728.00
8/1/2001,591.00
9/1/2001,670.00
10/1/2001,1040.00
11/1/2001,535.00
12/1/2001,2340.00
1/1/2002,1550.00
2/1/2002,1890.00
3/1/2002,1610.00
4/1/2002,3170.00
5/1/2002,1050.00
6/1/2002,390.00
7/1/2002,411.00
8/1/2002,340.00
9/1/2002,409.00
10/1/2002,413.00
11/1/2002,744.00
12/1/2002,832.00
1/1/2003,1010.00
2/1/2003,938.00
3/1/2003,1630.00
4/1/2003,524.00
5/1/2003,495.00
6/1/2003,454.00
7/1/2003,393.00
8/1/2003,392.00
9/1/2003,393.00
10/1/2003,340.00
11/1/2003,360.00
12/1/2003,388.00
1/1/2004,544.00
2/1/2004,1510.00
3/1/2004,1180.00
4/1/2004,617.00
5/1/2004,1030.00
6/1/2004,1150.00
7/1/2004,1120.00
8/1/2004,460.00
9/1/2004,394.00
10/1/2004,628.00
11/1/2004,1100.00
12/1/2004,2090.00
1/1/2005,2040.00
2/1/2005,1560.00
3/1/2005,864.00
4/1/2005,1020.00
5/1/2005,439.00
6/1/2005,328.00
7/1/2005,472.00
8/1/2005,542.00
9/1/2005,599.00
10/1/2005,381.00
11/1/2005,566.00
12/1/2005,476.00
1/1/2006,504.00
2/1/2006,674.00
3/1/2006,953.00
4/1/2006,596.00
5/1/2006,625.00
6/1/2006,519.00
7/1/2006,634.00
8/1/2006,629.00
9/1/2006,685.00
10/1/2006,844.00
11/1/2006,848.00
12/1/2006,1320.00
1/1/2007,2960.00
2/1/2007,1300.00
3/1/2007,747.00
4/1/2007,805.00
5/1/2007,1380.00
6/1/2007,917.00
7/1/2007,2830.00
8/1/2007,1920.00
9/1/2007,877.00
10/1/2007,352.00
11/1/2007,198.00
12/1/2007,198.00
1/1/2008,650.00
2/1/2008,1040.00
3/1/2008,2230.00
4/1/2008,2590.00
5/1/2008,1700.00
6/1/2008,724.00
7/1/2008,629.00
8/1/2008,692.00
9/1/2008,655.00
10/1/2008,457.00
11/1/2008,464.00
12/1/2008,623.00
1/1/2009,533.00
2/1/2009,516.00
3/1/2009,995.00
4/1/2009,991.00
5/1/2009,2990.00
6/1/2009,1750.00
7/1/2009,386.00
8/1/2009,797.00
9/1/2009,660.00
10/1/2009,3020.00
11/1/2009,3110.00
12/1/2009,1740.00
1/1/2010,1810.00
2/1/2010,2600.00
3/1/2010,1670.00
4/1/2010,784.00
5/1/2010,431.00
6/1/2010,357.00
7/1/2010,372.00
8/1/2010,290.00
9/1/2010,196.00
10/1/2010,121.00
11/1/2010,89.00
12/1/2010,53.70
1/1/2011,92.50
2/1/2011,203.00
3/1/2011,170.00
4/1/2011,272.00
5/1/2011,1280.00
6/1/2011,230.00
7/1/2011,120.00
8/1/2011,71.60
9/1/2011,35.90
10/1/2011,36.10
11/1/2011,164.00
12/1/2011,745.00
1/1/2012,688.00
2/1/2012,1450.00
3/1/2012,1700.00
4/1/2012,1640.00
5/1/2012,275.00
6/1/2012,116.00
7/1/2012,95.10
8/1/2012,126.00
9/1/2012,135.00
10/1/2012,213.00
11/1/2012,84.70
12/1/2012,228.00
1/1/2013,828.00
2/1/2013,320.00
3/1/2013,254.00
4/1/2013,779.00
5/1/2013,453.00
6/1/2013,759.00
7/1/2013,198.00
8/1/2013,127.00
9/1/2013,228.00
10/1/2013,175.00
11/1/2013,676.00
12/1/2013,1240.00
1/1/2014,793.00
2/1/2014,641.00
3/1/2014,676.00
4/1/2014,998.00
5/1/2014,994.00
6/1/2014,650.00
7/1/2014,319.00
8/1/2014,392.00
9/1/2014,110.00
10/1/2014,100.00
11/1/2014,162.00
12/1/2014,342.00
1/1/2015,1010.00
2/1/2015,463.00
3/1/2015,2300.00
4/1/2015,1520.00
5/1/2015,3440.00
6/1/2015,4810.00
7/1/2015,3050.00
8/1/2015,1420.00
9/1/2015,395.00
10/10/2015,241.00
11/10/2015,1280.00
12/10/2015,3370.00
1/10/2016,3840.00
2/10/2016,1580.00
3/10/2016,3900.00
4/10/2016,2200.00
5/10/2016,2980.00
6/10/2016,2230.00
7/10/2016,826.00
8/10/2016,1170.00
9/10/2016,280.00
